id;nazwa;cena;skladniki;url;typ_wlosow;typ_skory;porowatosc_wlosow
46;Kallos Hair Pro-Tox;12;aqua, cetearyl alcohol, cetrimonium chloride, olea europaea oil, cocos nucifera oil, parfum, cyclopenta siloxane, dimethiconol, panthenol, hydrolyzed keratin, soluble collagen, sodium hyaluronate, citric acid, propylene glycol, benzylalcohol, methylchloroisothiazolinone;https://www.hebe.pl/kallos-nawilzajacy-szampon-do-wlosow-1000-ml-000000000000271226.html;normalne;normalna;wysoka
47;Hebe Cosmetics Daily Refreshing Shampoo;9;aqua, sodium coco-sulfate, decyl glucoside, cocamidopropyl betaine, glycerin, lauryl glucoside, cocos nucifera fruit extract, mangifera indica fruit extract, actinidia chinensis fruit extract, trehalose, allantoin, sodium hyaluronate, fructose, urea, maltose, sodium pca, sodium lactate, glucose, parfum, citric acid, sodium hydroxide, sodium benzoate, potassium sorbate, sodium chloride, propylene glycol, pentylene glycol;https://www.hebe.pl/hebe-cosmetics-odswiezajacy-szampon-do-wlosow-400-ml-000000000000408159.html;normalne;sucha/wrazliwa;srednia
48;L'Oréal Paris Elseve Arginine Resist X3;18;aqua, sodium laureth sulfate, glycol distearate, sodium chloride, cocamidopropyl betaine, dimethicone, guar hydroxypropyltrimonium chloride, diaminopyrimidine oxide, cocamide mea, coco-betaine, sodium benzoate, sodium hydroxide, steareth-6, phenoxyethanol, acetic acid, arginine, peg-100 stearate, trideceth-10, trideceth-3, salicylic acid, limonene, fumaric acid, amodimethicone, biotin, carbomer, citric acid, hexylene glycol, parfum;https://www.hebe.pl/loreal-paris-szampon-wzmacniajacy-do-wlosow-oslabionych-400-ml-000000000000235066.html;puszace/suche;tlusta/lupiez;niska
49;Bioelixire Gęste Włosy;29;aqua, sodium coco-sulfate, lauryl glucoside, cocamidopropyl betaine, glycerin, lactobacillus, panthenol, urea, hydrolyzed caesalpinia spinosa gum, caesalpinia spinosa gum, phyllanthus emblica fruit extract, bambusa arundinacea leaf extract, ascophyllum nodosum extract, spirulina maxima extract, caffeine, fucus vesiculosus extract, laminaria digitata extract, adansonia digitata seed oil, porphyra umbilicalis extract, guar hydroxypropyltrimonium chloride, propylene glycol, benzoic acid, potassium sorbate, sodium benzoate, sodium chloride, parfum, methylpropanediol, citric acid, caprylyl glycol, propanediol;https://www.hebe.pl/bioelixire-delikatny-szampon-do-wlosow-300-ml-000000000000475416.html;normalne;normalna;srednia
50;Yope Balance My Hair;31;aqua, cocamidopropyl betaine, sodium coco-sulfate, coco glucoside, sodium cocoyl alaninate, decyl glucoside, sodium babassuamphoacetate, propanediol, succinic acid, gluconolactone, vinegar, vitis vinifera fruit extract, disodium cocoyl glutamate, myroxylon balsamum resin, potassium cocoyl rice amino acids, fructose, gluconic acid, glucose, commiphora myrrha resin extract, caesalpinia spinosa gum, styrax benxoin resin extract, backhousia citriodora leaf extract, guar hydroxypropyltrimonium chloride, glycerin, sodium levulinate, levulinic acid, parfum, sodium hydroxide, citric acid, hexyl cinnamal, limonene, linalool;https://www.hebe.pl/yope-oczyszczajacy-szampon-do-wlosow-300-ml-000000000000420139.html;normalne;normalna;srednia
51;Head&Shoulders Citrus Fresh;16;aqua, sodium laureth sulfate, sodium xylenesulfonate, cocamidopropyl betaine, sodium citrate, parfum, citric acid, cocamide mea, glycol distearate, piroctone olamine, sodium chloride, guar hydroxypropyltrimonium chloride, dimethiconol, menthol, sodium benzoate, dimethicone, sodium salicylate, tetrasodium edta, tea-dodecylbenzenesulfonate, sodium hydroxide, glycerin, trideceth-10, niacinamide, hexyl cinnamal, limonene, benzyl salicylate, citronellol, panthenol, tocopheryl acetate, acetic acid, ci 19140, benzyl alcohol, triethylene glycol, propylene glycol, ci 42090;https://www.hebe.pl/headshoulders-przeciwlupiezowy-szampon-do-wlosow-250-ml-000000000000282834.html;puszace/suche;tlusta/lupiez;srednia
52;Ziaja;12;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium c14-17 alkyl sec sulfonate, coco glucoside, panthenol, propylene glycol, lavandula angustifolia flower extract, polyquaternium-10, c12-13 alkyl lactate, sodium chloride, sodium benzoate, 2-bromo-2-nitropropane-1,3-diol, parfum, linalool, citronellol, limonene, hydroxycitronellal, citric acid;https://www.hebe.pl/ziaja-lawendowy-szampon-do-wlosow-przetluszczajacych-sie-500-ml-000000000000215335.html;krecone/falowane;normalna;srednia
53;L'Oréal Paris Color-Vive Purple;19;aqua, sodium laureth sulfate, coco-betaine, glycol distearate, cocamide mipa, ci 60730, cocos nucifera oil, sodium lauryl sulfate, sodium chloride, sodium benzoate, sodium hydroxide, ethylhexyl salicylate, tridecth-6, polyquaternium-7, polyquaternium-10, salicylic acid, limonene, linalool, benzyl salicylate, benzyl alcohol, amodimethicone, alpha-isomethyl ionone, carbomer, citric acid, citronellol, cetrimonium chloride, coumarin, hexylene glycol, hexyl cinnamal, amyl cinnamal, parfum;https://www.hebe.pl/loreal-paris-szampon-do-wlosow-neutralizujacy-miedziane-odcienie-200-ml-000000000000370020.html;krecone/falowane;tlusta/lupiez;niska
54;Fanola No Yellow;27;aqua, sodium laureth sulfate, sodium cocoamphoacetate, decyl glucoside, cocamidopropyl betaine, citric acid, acid violet 43, gua hydroxypropyltrimonium chloride, wine extract, propylene glycol, benzyl alcohol, triethylene glycol, hydrolyzed silk, sodium chloride, methylchloroisothiazolinone methylisothiazolinone, magnesium nitrate, magnesium chloride, phenoxyethanol, chlorphenesin, potassium metabisulfite, ethylhexylglycerin, tetrasodium glutamate diacetate;https://www.hebe.pl/fanola-szampon-do-wlosow-farbowanych-i-naturalnych-100-ml-000000000000466033.html;normalne;normalna;srednia
55;Herbal Care Dziegieć;10;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium cocoamphoacetate, piroctone olamine, starch hydroxypropyltrimonium chloride, urea, sodium lactate, inulin, polyquaternium-10, zinc pca, betula alba oil, tar oil, potassium sorbate, sodium benzoate, sodium chloride, lactic acid, disodium edta;https://www.hebe.pl/herbal-care-szampon-do-wlosow-330-ml-000000000000386376.html;krecone/falowane;tlusta/lupiez;niska
56;Plantur 39 Phyto-Caffeine;54;woda, lauryloсыiarczan sodu, lauryloсiarczan-2, pantenol, lauryloсulfobursztynian disodowy, glikol propylenowy, chlorek sodu, lauroilo glutaminian sodu, koferina, peg-120 dioleinian glukozy metylowej, kwas cytrynowy, cytrynian sodu, hydrolizowane białko pszenicy, polyquaternium-7, ekstrakt z liści kamelii chińskiej, cynk pca, niacynamid, sorbinian potasu, benzoesan sodu, fenoksyetanol, aromat, cynamal heksylowy, limonen, linalol;https://www.hebe.pl/plantur-szampon-do-wlosow-cienkich-i-lamliwych-250-ml-000000000000531377.html;normalne;normalna;niska
57;10 Essences;69;water, sodium laureth sulfate, cocamide methyl mea, cocamidopropyl betaine, peg-11 methyl ether dimethicone, sodium lauroyl methylaminopropionate, propylene glycol, potassium cocyl glutamate, sodium cocoyl glutamate, decyl glucoside, lauryl hydroxysultaine, cocamide dea, glycerin, sodium hyaluronate, panthenol, sea salt, butyropspermum parkii fruit, honey, camellia japonica seed oil, olea europea fruit oil, hydrolyzed silk, rosmarinus officinalis leaf extract, swertia japonica extract, butylene glycol, betaine, guar hydroxypropyltrimonium chloride, polyquaternium-10, polyquaternium-7, citric acid, sodium chloride, alcohol denat, tetrasodium edta, methylparaben, lavandula angustifolia oil, citrus grandis peel oil, mentha piperita oil, pelargonium graveolens flower oil, blue 1, yellow 5;https://www.hebe.pl/10-essences-nawilzajaco-odzywczy-szampon-do-wszystkich-rodzajow-wlosow-700-ml-000000000000358528.html;krecone/falowane;normalna;srednia
58;Hairy Tale Cosmetics Hairmoji;35;aqua, sodium coco-sulfate, propanediol, coco-glucoside, sodium lauryl glucose carboxylate, lauryl glucoside, xanthan gum, inulin, saccharide isomerate, phyllanthus emblica fruit extract, trisodium ethylenediamine disuccinate, glycerin, biosaccharide gum-1, polyglyceryl-6 caprylate, polyglyceryl-4 caprate, guar hydroxypropyltrimonium chloride, benzyl alcohol, sodium citrate, dehydroacetic acid, sorbic acid, citric acid, phenoxyethanol, sodium chloride, benzyl benzoate, parfum, limonene, linalool;https://www.hebe.pl/hairy-tale-cosmetics-chelatujacy-szampon-do-wlosow-240-ml-000000000000484846.html;normalne;normalna;srednia
59;Pantene Lively Color;18;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium citrate, sodium xylenesulfonate, sodium chloride, cocamide mea, glycol distearate, parfum, stearyl alcohol, sodium benzoate, glycerin, citric acid, cetyl alcohol, sodium salicylate, dimethiconol, dimethicone, guar hydroxypropyltrimonium chloride, sodium hydroxide, trihydroxystearin, panthenol, tea-dodecylbenzenesulfonate, polyquaternium-6, tetrasodium edta, trideceth-10, histidine, hexyl cinnamal, triethylene glycol, propylene glycol, benzyl alcohol;https://www.hebe.pl/pantene-szampon-do-wlosow-chroniacy-kolor-400ml-000000000000230451.html;puszace/suche;normalna;srednia
60;Syoss Volume;19;aqua, sodium laureth sulfate, sodium chloride, cocamidopropyl betaine, hydrolyzed keratin, hydrolyzed collagen, sodium benzoate, parfum, coco-glucoside, glyceryl oleate, citric acid peg-7 glyceryl cocoate, glycol distearate, laureth-4, peg-120 methyl glucose dioleate hydrogenated castor oil, benzyl salicylate, hexyl cinnamal, hydroxypropyl gua hydroxypropyltrimonium chloride, citronellol, tetramethyl acetyloctahydronaphthalenes, sodium hydroxide, limonene, linalyl acetate, linalool, propylene glycol, sorbic acid;https://www.hebe.pl/syoss-szampon-do-wlosow-cienkich-i-bez-objetosci-440-ml-000000000000376891.html;normalne;normalna;wysoka
61;Tołpa Dermo Hair Przetłuszczanie;35;aqua, cocamidopropyl betaine, lauryl glucoside, xylitol, sodium chloride, parfum, polyquaternium-6, peat extract, lactic acid, sodium phosphate, tetrasodium edta, triethyl citrate, glyceryl caprylate, methylpropanediol, caprylyl glycol, benzoic acid;https://www.hebe.pl/tolpa-gleboko-oczyszczajacy-szampon-przeciw-przetluszczaniu-sie-wlosow-250-ml-000000000000376742.html;normalne;normalna;niska
62;L'Oréal Paris Elseve Total Repair 5;18;aqua, sodium laureth sulfate, glycol distearate, sodium chloride, cocamidopropyl betaine, dimethicone, parfum, guar hydroxypropyltrimonium chloride, cocamide mea, coco-betaine, sodium benzoate, sodium hydroxide, hydroxycitronellal, sodium lactate, steareth-6, phenoxyethanol, acetic acid, peg-100 stearate, tridceth-10, tridceth-3, salicylic acid, polysorbate 20, palmitoyl tripeptide-1, palmitoyl tetrapeptide-7, limonene, fumaric acid, linalool, amodimethicone, 2-oleamido-1,3-octadecanediol, carbomer, citric acid, butylene glycol, hexylene glycol, hexyl cinnamal, glycerin;https://www.hebe.pl/loreal-paris-regenerujacy-szampon-do-wlosow-zniszczonych-400-ml-000000000000213747.html;puszace/suche;tlusta/lupiez;srednia
63;Kundal Honey & Macadamia;69;water, disodium laureth sulfosuccinate, glycerin, lauryl glucoside, lauryl betaine, decyl glucoside, 1, 2-hexanediol, honey extract, macadamia ternifolia seed extract, hydrolyzed keratin, hydrolyzed silk, milk protein extract, copper tripeptide-1, butyrospermum parkii butter, argania spinosa kernel oil, simmondsia chinensis seed oil, cocos nucifera oil, persea gratissima oil, diospyros kaki fruit extract, camellia japonica leaf extract, ceratonia siliqua fruit extract, centella asiatica extract, camellia sinensis leaf extract, polygonum cuspidatum root extract, scutellaria baicalensis root extract, glycyrrhiza glabra root extract, rosmarinus officinalis leaf extract, chamomilla recutita flower extract, rosa damascena flower extract, arnica montana flower extract, sophora angustifolia root extract, acorus calamus root extract, polygonum multiflorum root extract, morus alba root extract, swertia japonica extract, yucca schidigera root extract, brassica campestris sprout extract, brassica oleracea italica sprout extract, glycine soja sprout extract, triticum vulgare sprout extract, magnolia kobus bark extract, salix alba bark extract, cinnamomum cassia bark extract, portulaca oleracea extract, chamaecyparis obtusa leaf extract, origanum vulgare leaf extract, lactobacillus soybean ferment extract, butylene glycol, polyquaternium-10, sodium chloride, sodium sulfite, citric acid, arginine, disodium edta, fragrance;https://www.hebe.pl/kundal-odswiezajacy-szampon-do-wlosow-z-wisnia-500-ml-000000000000365136.html;krecone/falowane;normalna;wysoka
64;Syoss Color;19;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium chloride, peg-7 glyceryl cocoate, hydrolyzed keratin, sodium pca, dimethicone, sodium benzoate, citric acid, amodimethicone, guar hydroxypropyltrimonium chloride, peg-40 hydrogenated castor oil, hydrogenated castor oil, glycol distearate, laureth-4, peg-120 methyl glucose dioleate, benzyl salicylate, hexyl cinnamal, laureth-23, prunus armeniaca kernel oil, trideceth-10, sodium hydroxide, citronellol, tetramethyl acetyloctahydronaphthalenes, propylene glycol, limonene, linalyl acetate, linalool, dimethyl phenethyl acetate, phenoxyethanol, sodium salicylate;https://www.hebe.pl/syoss-szampon-do-wlosow-farbowanych-i-rozjasnianych-440-ml-000000000000376892.html;puszace/suche;normalna;wysoka
65;Syoss Men Clean&Cool;19;aqua, sodium laureth sulfate, sodium chloride, cocamidopropyl betaine, hydrolyzed keratin, mentha citrata leaf extract, sodium benzoate, parfum, coco-glucoside, glyceryl oleate, citric acid, menthol, propylene glycol, peg-120 methyl glucose dioleate, hexyl cinnamal, hydroxypropyl guar hydroxypropyltrimonium chloride, tetramethyl acetyloctahydronaphthalenes, sodium hydroxide, citronellol, potassium sorbate, sorbic acid;https://www.hebe.pl/syoss-szampon-do-wlosow-normalnych-i-przetluszczajacych-sie-meski-440-ml-000000000000376878.html;normalne;normalna;wysoka
66;Nivea Baby;31;aqua, cocamidopropyl betaine, glycerin, sodium cocoyl isethionate, sodium methyl cocoyl taurate, prunus amygdalus dulcis oil, tocopheryl acetate, sodium ascorbyl phosphate, panthenol, prunus amygdalus dulcis seed extract, guar hydroxypropyltrimonium chloride, phenoxyethanol, caprylyl glycol, potassium sorbate, sodium benzoate, sodium chloride, citric acid, hydrogenated coconut acid, pantolactone, parfum;https://www.hebe.pl/nivea-zel-do-mycia-ciala-i-wlosow-2w1-z-pompka-500-ml-000000000000502210.html;normalne;normalna;srednia
67;Deve 3 Honey;29;water, sodium laureth sulfate, cocamide dea, cocamidopropyl betaine, propylene glycol, sodium chloride, glycerin, honey, argania spinosa kernel oil, propolis extract, royal jelly extract, arginine, sodium hyaluronate, butyrospermum parkii butter, butylene glycol, alcohol, tocopherol, polyquaternium-10, tetrasodium edta, citric acid, alcohol denat, sodium benzoate, phenoxyethanol, fragrance, caramel;https://www.hebe.pl/deve-zapas-szamponu-do-wlosow-350-ml-000000000000490671.html;krecone/falowane;normalna;srednia
68;Ziaja Yego Czerwony Cedr;11;aqua, cocamidopropyl betaine, disodium laureth sulfosuccinate, decyl glucoside, glycerin, laureth-2, guar hydroxypropyltrimonium chloride, niacinamide, calcium pantothenate, sodium ascorbyl phosphate, tocopheryl acetate, pyridoxine hcl, maltodextrin, sodium starch octenylsuccinate, silica, c12-13 alkyl lactate, peg-120 methyl glucose dioleate, sodium benzoate, parfum, limonene, citronellol, coumarin, citric acid;https://www.hebe.pl/ziaja-odswiezajacy-i-oczyszczajacy-zel-pod-prysznic-z-szamponem-o-zelowej-konsystencji-400-ml-000000000000422462.html;normalne;normalna;srednia
69;Olaplex N.4 Bond Maintenance;129;water, sodium lauroyl methyl isethionate, cocamidopropyl hydroxysultaine, potassium cocoyl glycine, disodium cocoyl glutamate, sodium lauroyl sarcosinate, potassium cocoate, decyl glucoside, glycereth-26, bis-aminopropyl diglycol dimaleate, cocamidopropylamine oxide, disodium laureth sulfosuccinate, glycol distearate, sodium cocoyl glutamate, methyl gluceth-20, acrylates copolymer, peg-120 methyl glucose dioleate, amodimethicone, citric acid, sodium lauryl sulfoacetate, polyquaternium-10, ethylhexylglycerin, divinyldimethicone, polyquaternium-11, trisodium ethylenediamine disuccinate, guar hydroxypropyltrimonium chloride, c11-15 pareth-7, laureth-9, glycerin, trideceth-12, c12-13 pareth-23, c12-13 pareth-3, hydrolyzed vegetable protein, pg-propyl silanetriol, panthenol, acetic acid, tetrasodium edta, pentasodium triphosphate, sodium hydroxide, disodium edta, helianthus annus, tocopherol, prunus armeniaca, pseudozyma epicola, pseudozyma epicola, quaternium-95, propanediol, helianthus annus, peg-8, euterpe oleracea, punica granatum, rosmarinus officinalis, musa sapientum, origanum vulgare, morinda citrifolia, articum lappa, peg-8, sodium hyaluronate, palmitoyl myristyl serinate, sodium polyacrylate, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, biotin, benzoic acid, phenoxyethanol, chlorphenesin, potassium sorbate, sodium benzoate, fragrance, citral, hexyl cinnamal, limonene;https://www.hebe.pl/olaplex-delikatnie-oczyszczajacy-szampon-do-wlosow-250-ml-000000000000488608.html;krecone/falowane;normalna;srednia
70;Hair Of The Day By Only Bio;16;aqua, lauryl glucoside, sodium methyl cocoyl taurate, sodium cocoyl isethionate, disodium lauryl sulfosuccinate, sodium lauryl glucose carboxylate, sodium olivamphoacetate, polyglyceryl-10 oleate, cyperus esculentus tuber extract, aloe barbadensis leaf juice, bertholletia excelsa nut oil, lauroyl lysine, xanthan gum, sodium chloride, sodium dehydroacetate, sodium benzoate, potassium sorbate, citric acid, sodium hydroxide, ci 51319, parfum;https://www.hebe.pl/hair-of-the-day-szampon-do-wlosow-nawilzenie-300-ml-000000000000536095.html;normalne;sucha/wrazliwa;niska
